tweet,sentiment
"Panie Kowal, Panie Kamiński, Panie Ujazdowski, Panie Poncyljusz, Pani Gronkiewicz itp.. - wiem ""pecunia non olet"" 🤣🤣🤣",negative
to tak samo jak wasi z lewicy.Nie uznaja demokratycznych wyborow i zachecaja ludzi do zamieszek na ulicach .Ale żeś trafił Pupka,negative
Ładnych macie wspólników...,negative
Hipokryzja*,negative
"Słyszysz sam siebie Budka, przecież to co stało się w Brazyli, to to wasz idol obiecuje, jak przegracie w wyborach. 🤨",negative
Ale to wy przegracie i znow bedziecie sejm okupowac.,negative
"Czas najwyższy żebyś wrócił do siebie, do kibla",negative
"Ty tak na serio????? - prezydent, parlament, trybunał konstytucyjny, sąd najwyższy, rzecznik praw dziecka, rzecznik praw obywatelskich (po odwołaniu zastępczyni), straż graniczna, policja - oj Borys- śmieszny jesteś- i super że się w końcu zadeklarowaliście jako lewica 🤣🤣",negative
OTO WYBORCY OPOZYCJI.🤬🤬🤮🤡,negative
Nawet szkoda z tobą dyskutować łysa pało,negative
"Ty Imbecylu, ty nawet nie wiesz co to kłamstwo !",negative
Rzucasz oskarżenia na innych ty jesteś nie lepszy od nich zdrajco sprzedawczyku w Brukseli nie zle wałki kreciliscie razem z dotkiem,negative
Teraz PiS to Pedofilia? Całkiem trafnie,positive
Ty myślisz że ludzie nie pamiętają co wyście wyprawiali w Sejmie Władza totalny błąd popełniła Trzeba było zrobić tak jak w Brazylii Władza miała mandat społeczny Paly powinne tylko gwizdac po waszych plecach,negative
No Borys! Jak ty mnie zaimponowałeś tą samokrytyką!,negative
"..czytając to już myślałem, że to na wspominki z ostatnich wyborów przyszło..",negative
"""NIE"" ;)",neutral
"Śmierć Diduszki w czasie Ciamajdanu to nie był strach przed wyborcza porażką? Pewnie dlatego ożył, ze wstydu.",negative
"Pamiętasz łabędzi śpiew Muchy w roku 2016, że znowu z puczem wam nie wyszło?",negative
"Przecież Budka to paranoik, więc proszę się nie ekscytować. To dureń mający nas wszystkich za durniów. Klasyka schizofrenii. Każdy psychiatra to potwierdzi.",negative
"Każdy rząd jest wrogiem ludzi.

To widać coraz częściej.

Rząd to podatki, wojny, milicja i władza dla wybranych.

Po co to zwykłym ludziom?

Żłoby tylko wam są potrzebne żeby nakraść doczesne dobra.",negative
"Po pierwsze wybory w Brazylii były oszukane. Po drugie demokracja to tak naprawdę dupokracja,gdzie głupi zaślepieni ludzie wybierają jeszcze głupszych rządzący. (tak większość ludzi to głupki)",negative
Załóż perukę bo rozum wtedy nie uleci całkiem.,negative
Znowu debile ktoś wam napisał. Już kilka takich samych wpisów widziałem.,negative
"Mała sugestia, ludzi nawet z innych krajów Europy można ściągnąć, wszystkich tych którzy sprzeciwiają sie rusyfikacji i federalizacji np z  Węgier, Ukrainy, Włoch. Kowalski Robert, Poznań",negative
Panie Marku oni mają zapaść umysłową razem z rudm i trzecim,negative
"Łysy. Już zupełnie odleciałeś ,😂",negative
Ma pan w domu lustro?,negative
"ty jeszcze tutaj? tu dorośli są, bierz zabawki i wypad do piaskownicy.",negative
Boryslawie kup sobie tupecik to może będziesz madrzejszy i reszta zwojów ci n*******doli baj lgbt.,negative
"Wy , komuniści populizm i nienawiść do wszystkich , którzy nie są z wami wyssaliście z mlekiem Marksa, Engelsa, Lenina, Trockiego.
   Takimi dzieciakami rewolucji masońscy bankierzy ze wschodniego wybrzeża USA karmią ogłupiony lud biorący kolejne szpryce.
   Bye, bye czerwoni...",negative
"A to sejm ktos atakował, czy go sobie sprywatyzowaliscie?",negative
"już już, nie poplacz sie i nie brnij dalej.
im bardziej jadaczke otwierasz tym bardziej burakiem wali.",negative
"Głupcze manipulatorku! Wszak to wy po przegranych wyborach wyprowadziliscie ludzi na ulicę i próbowaliście namówić ich do szturmu na instytucje pañstwowe. Tyle,że wyprowadzony lud wolał pokrzyczeć i iść ale do domu niż arakować pisiorów 😂",negative
"Wszystko się zgadza, poza jednym błędem. Powinno być ""patoopozycyjnych populistów"".",negative
"... Poza tym ustawy były zawsze badene przez TK i niektóre były odrzucane jako niezgodne z konstytucją. TK rozjebał PiS wsadzając kucharkę i swoich nominatów, którym wydaje polecenia i tu jest problem młody mongoli synu🙂2/2",neutral
"Organizujcie setki tyś lub miliony zwykłych ludzi, po wyborach, społeczeństwo, musi doczekać sie rozliczenia, przestepczej, zdradzieckiej mafii Tuska. Kowalski Robert, Poznań",negative
"A przypomnij gościu, co było 16.12.2016r.? A co robi ta locha Lempart ze swoimi bandytami? Czyż nie są to ataki ba demokratycznie wybraną władze? A wasze obrzydliwe podpier…e Polski w UE? Jesteście jeszcze gorsi, bo śmiecie nazywać się demokratami i światłą cywilizacją 🤮",negative
"Ja pierdole jaki ty głąb jesteś. Wybrali więcej niż konstytucja dopuszczała, ale był TK, który to zmienił. Gdzie tu masz naruszenie konstytucji? Praworządność nie jest wtedy gdy prawo nie jest łamane tylko wtedy gdy jest łamane ale jest sąd, który to orzeknie i wyda wyrok🤦‍♂️1/2",negative
To dokładnie tak samo jak Wy w sprawie Trybunału.,negative
"A to nie przeciwko Wam Sejmu broniła Policja?
A to nie wy kładliście się na asfalcie udając ofiary policji? 
A to nie Wy blokowaliście obrady sejmu i salę plenarną?
To już paranoja nie skleroza PARANOJA!!!!!",negative
"Walczcie o honor Polaków. Władza chce wysyłać nasze wojsko na hańbiącą walkę za banderowską Ukrainę. Walczyć mają potomkowie rodzin prześladowanych przez UPA. To niegodziwe! Można pomagać inaczej!Uchodźcom, sprzętem wojskowym ale nie zmuszajmy ludzi,których dziadkowie cierpieli!",neutral
"Tam bodajże chodziło o zablokowanie ustawy budżetowej, przez co mógłby upaść rząd. Zapewne pierwszorzędni fachowcy z BND podsunęli im ten pomysł.",neutral
"A pan to czasem nie blokował mównicy sejmowej?! Polityk to taka menda, która swoich czynów nie widzi tylko innych! Zarzut tyczy się wszystkich stron życia politycznego w Polsce! 🤮🤮🤮🤮🤮",negative
A małpy powinny być zamknięte w zoo!!!!,negative
"""Na ulicy się zorganizujemy, jeśli ta władza nie zniknie"". Twój szef takie metody planuje.",negative
"Spadaj, nie macie szans, kto wygra?
Ci którzy na to zasługują",negative
"Borys. Piłeś, nie pisz.",negative
GOMULKA POjebow ZAPOMNIAL O CIAMAJDANIE,negative
"Przypomnij sobie Pan rok 2016 i co wyprawialiście.Chyba też zaliczacie się do ""prawych"" populistów.",negative
"Ty je.....ny czerwony parchu,kompromituj się tak dalej 👍👍👍🤣🤣🤣🤣a 50% PiS na bank będzie",negative
Pełowska swołocz 🤮,negative
"Budka ty potrafisz błysnąć, ale jak zawsze głupotą. Kto próbuje na wszelkie sposoby od 2015  roku obalić demokratycznie wybrany rząd w Polsce?
Jest pewna zasada, zanim coś powiesz lub zrobisz to pomyśl.",negative
"Słychać wycie znakomicie, wy jesteście niezdolni do rządzenia co było widać jak rządziliście razem z zsl",negative
A co ukradli? Może jeszcze do własnych kieszeni?!!,neutral
A teraz robi to samo Tusk!!!,negative
"Acha, jakim krajem, wy nie zasługujecie  by rządzić w kurniku. Prosto drobiu szkoda.",negative
Od 2015 BND nie uznaje demokratycznych roztrzygnięć w Polsce i za pomocą takich kukieł jak ty sieje zamęt,negative
Lewackie mordy... prują,negative
To co napisałeś Budka to się nazywa w waszej nomenklaturze komunistycznej samokrytyka. Bardzo ładnie. Teraz poproś o przeniesienie,negative
"A u nas lewaki wychodzą na ulice i robią burdy, i atakują lokale prawicy",negative
"Ukradliście nam państwo, sprywatyzowaliście i zrobiliście korporacją. Zamknij mordę zdrajco bo przyjdzie czas odsieczy i głowy zdrajców spadną!!!",negative
Tobie są bardzo bliscy lewi populiści.,negative
Idź precz lewaku!!!!!!,negative
Zupełnie jak platforma po przegranych wyborach i to podwójnie,negative
"Tworzenie Kodu, zamieszki pod TK, wyzywanie władz,  wyprowadzanie loch na ulicę . 
Strach przed prawdą .
To wspólny mianownik dla lewych populistów. 
Nie zasługujecie , by rządzić jakimkolwiek krajem.",negative
A jak tam z puczem? Znowu nie wyszło?,negative
"Oj Borys, Borys! Jak gadałeś głupoty, tak gadasz dalej. Ludzie nie są tak głupi jak ci się wydaje. Szanuj swoich wyborców.",negative
Borys bałwanie a ty z watachą nie blokowaleś sejmu,negative
Buhahaha hahaha!,negative
W Polsce bandyci za okupowanie sali Sejmu RP nie zostali ukarani,negative
"Wspólnym mianownikiem dla ""lewych"" populistów jest cenzura i zamykanie ust tym, którzy maja inne zdanie niż wy...taka to lewacka/komunistyczna wolność słowa.",negative
"Pucz w sejmie,kto organizował pajacu z szajki PO.",negative
"Skąd u was taka krytyka. Przecież w 2015 po wyborach PISu,  ( i do dziś) sami robiliście to samo, bo nie pogodziliście się do dziś, z przegraną. Nie uznajecie demokratycznych wyborów w Polsce. Wandalizm na ulicach, pucz w sejmie, sianie nienawiści do dziś! Już zapomnieliscie?",negative
Od kilku lat właśnie to uprawiacie.,negative
"Tyranozaurrr, uważaj żeby ci skrzydełka nie odpadło jak będziesz ty wypierdzielać",negative
Poczekamy w tym roku.Kto bedzie potrafił stworzyć rzad.I mam dziwne przeczucie ze nie bedzie to partia obecnie rzadzaca bo nie bede miec samodzielnej wiekszosci a nikt z nimi nie chce.,positive
"Coś ci się popierd***ło, Budka.
To przecież wy, najgłupsza opozycja na świecie,od 7 lat podważacie demokratyczne wybory Polaków.",negative
Chłopie jak chcesz cokolwiek wygrać to tak po ludzku ci powiem może zrozumiesz sklej wary.😮,negative
"Tow. Budka, wy to nawet chrzanić skladnie nie potraficie... wot i szto!",negative
XDD odstaw te TVP bo coś się ewidentnie odkleja xD,negative
Coś ci się w tej łysej pale nie POpie*doliło?,negative
"Tak, to całe oblicze PO!!!",negative
Dupka jak zwykle mistrz intelektu...,negative
Ja się nie dziwię że studenci po skąńczeniu są takimi debilami jak mają takich wykładowców...,negative
Na pewno się do niej odniesie zaraz po urlopie.,neutral
"Ale to pana szef, Tusk nawołuje do wyjścia na ulicę.
Trzyma pana ostro po Sylwestrze.....",negative
Powiedz budka … jak to jest być podnóżkiem tego ryżego gownojada?,negative
"Czy zasługa, czy nie zasługa to ty nie oceniaj. Wasza partja ma ludzi za NIC, chcecie władzy! Nie uda wam się, bo ludzie nie są ślepi ani głusi. Sami się pogrążacie, taki polityk żeby tak gębę wycierał o obelgi i szyderstwa, wstyd. Piar wsadź se do bu. y.",negative
"Jak to mawiał Miller do Ziobry podczas komisji ds. afery medialnej ?
Jesteś zerem...",negative
Wypisz wymaluj jak nasza OPozycja. Panie Budka jakiż to trafny komentarz.,negative
Tituszko  bojownik o wolność 😂,negative
Zobaczymy jak będziesz wył na jeień😂🤣😂,negative
"Budka Kutasie Merkelowsko - Putinowsko - Tuskowski?
Wiekrzych PO-polistow Klamcow Korupcyjnych i Zlodziejskich Scierw jak Wy towarzyszu Budka i wam PO-dobnych Czerwonych Scierw nie bylo i nie ma od czasow Targowicy i pozniejszych Bolszewikow z 1917 r i PO-II-giej wojnie swiatoej",negative
"Potepia pan brak szacunku do demokratycznych rozstrzygnięć,  a jednocześnie pisze: ""Oni nie zasługują, by rządzić jakimkolwiek krajem"". Te dwie postawy są sprzeczne. Chyba, że wg. Pana rozstrzygnięcia są demokratyczne tylko wtedy, gdy wygrywają WASI kumple.",negative
"Takie teksty to lemingozie wciskaj. Kapitol, to robota FBI, co za chwilę wyjdzie na jaw po odtajnieniu przesłuchań. Brazylia, ten sam wał globalistów, ale tam tak łatwo nie pójdzie bandytom. Reasumując, jesteś po tych samych pieniądzach z Bidenem, Dudą i resztą.",negative
"A to bydło w Sejmie w "" pasztetową"" wigilię pamiętasz Borysław ?",negative
Ale ze Chleb jest po 30 zł węgla nie ma? Tak prorokiwali twoi idole. O innych chybionych proroctwach nie wspomnę.,negative
"Atak na Kapitol, zamieszki w Brazylii, Ciamajdan w Polsce. I Budka ma czelność pisać coś o demokracji. Hipokryta.",negative
"Jak to leciało? ""Znowu z puczem mi nie wyszło...""",negative
Jaka żyła?,neutral
Napisał debil który brał współudział w nieudanym puczu po wyborach w naszym kraju. #Jedziemy,negative
Panie Borysie  czy był Pan na Puczu kilka lat temu???,negative
Ale wy jesteście obłudni i tymi wpisami utwierdza mnie Pan w tym żeby na was nie głosować....,negative
To Odłam od POpojebów !! Ale tacy sami ! 😁,negative
To PO nie uznaje demokratycznych rozstrzygnięć,negative
Dla Pani Lemapart i kod. To jest ich wspólny mianownik. Wy też nie zasługujecie na rządzenie. Już raz byliście u koryta pachołki niemieckie,negative
To jak ciamajdan PO,negative
"No i uczciwie przyznał, że jego partia nie zasługuje, żeby rządzić jakimkolwiek krajem. Ja bym poszedł dalej i włączył w to także miasta.",negative
Piep.y hipokryta!!! Nie masz pojęcia o demokracj!,negative
"Budka, a wasz zamaszek stanu skoordynowany z tvnienawiść i niektórymi dziadami w jed.nadwiślańskich,?",negative
pieknie Pan opisuje działania platformy od 2015r xD,negative
Ty hypocrycie do lustra sie popatrz a potem baw sie w wojowaka na Twitter.,negative
"Wzięli przykład z ""puczu"" zorganizowanego przez volksplatform w 2015/16 roku.

Masz informację czy pasztet wigilijny i "" i nie pucz kiedy odjadę"" w wykonaniu muchy, byly serwowane również Borysławie Rok I Trzy?",negative
Przecież PiS i PO to ten sam antypolski szczep XD,negative
Ciamajdam w sejmie też do tego się zalicza,negative
Dziadek Borysława- tow.Wieslaw też był oskarżany o prawicowe odchylenia. Budka bładzisz.,negative
A kiedy coś o programie wyborczym? :),negative
"PO wygrałaby nawet te wybory, ale warunkiem koniecznym jest milczenie",negative
Idealnie opisał pan własne zachowanie w 2016 roku.,negative
Mowa nienawiści to wasza broszka,negative
"Boria, a ty z choinki się urwałeś ? 😂",negative
"Okupowanie Sejmu ,zloty KOD-u,nawoływanie do wyprowadzania siłą,ztrząsanie „pisowskiej szarańczy”itd. - brzmi znajomo panie pupka?",negative
To podobnie jak wy. Czyli hołota obywatelska.,negative
"Menele z KOD ławnikami ? Ławki w sądzie , to ONI mogą myć !",negative
"Tej Borys, a kojarzysz taką nutę - ""znowuuu z puczeeem mi nie wyszłoooo"" - kto to śpiewał?",negative
Zapomniał Pan o waszym puczu o zmartwychwstaniu Diduszki,negative
Tylko wy komuchy i Lewactwo zasługujecie na to oszusty i złodzieje ktorzy Unia kierują  Euro w reklamowkach wynoszą psia ważą mac Totalne przyglupy,negative
W Polsce to chyba posłowie Platformy i Nowoczesnej okupowali Sejm w czasie Bożego Narodzenia 2016 roku,negative
Debil,negative
Żaden cyrk by się nie powstydził.,negative
Borys...będziesz rządził w następnej kadencji👍💪👍 ale papierem toaletowym w sejmowym kiblu!,negative
"Dobrze, że macie żelazne miotły. Zawsze można rozdać je na ulicy kiedy będziecie się liczyli.",negative
Toś w temacie 🫣😆,negative
A zapomniałeś co wyprawialiście w sejmie.,negative
Przyszli silni ludzie furiata don Tfu'ska i chcieli POdymić nieprawdaż panie Pupka ?,negative
"Widzę że w tym przypadku pamięć wybitnie ulotna, a to w sumie tak niedawno. Może jakaś czapeczkę na główkę,  to chociaż trochę zapobiegnie zanikowi pamięci.",negative
"Zapomniałeś jak w sejmie burdel robiliście . Co było w sejmie budka. Okupacja sejmu, okupacja mównicy sejmowej,  wigilia na PO dłodze w gmachu sejmu. Co budka pieniaczu tak było. Widzisz jakie to szkodliwe. Miernota polityczna.",negative
Nieuznawanie demokratycznych rozstrzygnięć,negative
"Zgadza się! Polskę, niestety czeka ten sam scenariusz i tego się boję! Nie mam już siły, jeszcze raz przez to przechodzić! Już raz, 40 lat temu przeżyłam ten koszmar!",positive
"Piękne czasy - pamiętam nagranie z przepychającym się Panem Ryszardem Petru, który koniecznie chciał być jak najbliżej mównicy sejmowej :D",neutral
Jaki szacunek do instytucji publicznych i politykow maja miec ludzie? Politycy nie szanuja kraju i obywateli! Jestescie sprzedajnymi lajdakami! Ludzie maja dosc i maja prawo to wyrazic! No chyba ze jedne protesty sa ok a inne nie!? To samo w Kanadzie bylo!Hipokryzja!,negative
Cała Platforma nic do zaoferowania.,negative
Od kiedy PIS to prawica ?..są tak samo lewicowi jak Wy...wojna wewnątrz mafii.,negative
Znowu z puczem mi nie wyszło.🎶,negative
Myślenie piclamu .wygrać wybory i cały piclam  za kraty,positive
To jak tam z piłowaniem katoli i wyprowadzeniem siła było? Kto to mówił? Kto podburza? Słucham...,negative
Pewnie nie ten kolor papieru toaletowego był w hotelu poselskim🤣🤣,negative
Siema #troll.u - znowu stawiasz kłocki i trolujesz?💩💩💩,negative
"Budka gdzieś ty był jak Twoja koleżanka śpiewała w okupawanym przez opozycję sejmie ""nie płacz kiedy odjadę """,negative
Jakieś raporty?,neutral
"Oni zachowują się dokładnie tak jak wy od 2015 roku- nie dociera do was, ze przegraliscie w demokratycznych wyborach i do dziś nie szanujecie naszej-Polaków- woli. Tak, nie zasługujecie na to, zeby rządzić.",negative
jebac budke,negative
"Właśnie potwierdza Pan, że demokracja to syf.",negative
"Wy macie w CV ,,Ciamajdan,, #PatoOpozycja",negative
Ładne sobie zdjęcie zrobiłeś cepie 😂,negative
Dalej nie rozumiesz co się do ciebie pisze 😁,negative
A wywiadu udzielałeś jak zawsze w klatkach i badejkach?,negative
Co to? Samokrytyka PO? W końcu dojrzeliscie?,negative
a sami syf a sejmie robili ... POpaprańcy,negative
Przecież to Pana szef nawołuje do organizowania się na tzw ulicy po przegranych wyborach . Pan  i koledzy partyjni maja usta pełne frazesów gorzej z praktyka .,negative
A wy to Jaselka w Sejmie zrobiliscie?,negative
"Przekręty, nieliczenie się z glosem spoleczenstwa, mafia VATowska, Ambert Gold, włażenie w d... ę niemcom i ruskim, lepszy VAT niż narkotyki, praca do ŚMIERCI, kradzież kasy z OFE - obraz Polski za rządów (a właściwie nierządów) PO i PSL.",negative
Zupełnie jak wtedy gdy PO z tvn przeprowadziło ciamajdan w parlamencie.,negative
"Borysław,a ciamajdan,kod,grożby Tuska itd?To wasza robota ,opozycja pod hasłem Pedofilia Obywatelską.KUMASZ?",negative
Opozycja idioci. Rząd mega banda debili i złodziei i tak sobie żyjemy w tym państwie z gówna i kartonu. Tylko tępy elektorat PiSu się cieszy że obajtek ruchał nas aż miło. Ehh. Pobudka ćwoki,positive
Zapomniał wół jak cielęciem był. Borysku spodnie załóż bo ci cipka wystaje.,negative
On i Bury-duet wszechczasów.,negative
Takiego sqrwienia świat nie widział. Przecież to wy od 2015r siłą (ulica/zagranica) za pomocą kryminalistów z KOD chcecie obalić rząd  Masz nas Obywateli Polski za idiotów?,negative
Teraz PiS kradnie na potęgę,positive
Na glowe Pan updal?,negative
A co stosuje pisowska szajka,positive
"Jaki tam z pana i  z pańskich kolegów prawy populista. 😃
Lewaki i tyle. Atakujący demokratycznie wybrany polski rząd.",negative
Jak kobiety wyszły na ulicę to chciał je pacyfikować. A elektorat PiSu albo ledwie łazi albo patusy najebane akurat są,positive
"Ależ trzeba być cynicznym i wyrachowanym człowiekiem, żeby coś takiego napisać. To wy kwestionujecie legalność wyborów w Polsce, nazywacie siebie opozycją demokratyczną... Masakra.",negative
"Jak Pana nie lubię i uwazam zę ciagnie Pan KO na dno, to akurat ma Pan tutaj rację.",positive
"Czyli dokładnie to co wy i wasi zwolennicy robicie. Nie uznajecie demokratycznych wyborów i chcecie siłą obalić legalnie wybraną władzę. Tylko, że wy czynicie jeszcze większe zło, bo wciągacie w to Niemcy i Rosję. Chcecie kolejnego rozbioru Polski?",negative
Hipokryzja się z Pana wylewa.,negative
"to wygraj wybory, populistyczny gnojk/u",negative
Żona Adamowicza też pracowała na L-4 i nie stawiała się w prokuraturze.Kasta to lubi.,negative
"Borys, po raz kolejny wystawiasz się na śmieszność",negative
"Żyją dzięki zdradzie Wałęsy,nocy komunistycznych teczek 1992,zamachu w Smoleńsku i ukrywaniu Tuska przez Merkel.",neutral
"Większego kołtuna i populisty od cienie,rudego tuskotrola i całego waszego środowiska trudno szukać, antypolski, kłamliwy chamie, spakować was do dużej reklamówki z Biedronki i wysłać Putinowi jako mięso armatnie,tam napewno się chamy nadacie, berlińskie i moskiewskie trole",negative
"Zwłaszcza człowiek-bizon był bardzo ""prawy"", BAWOLE!!!
PS. Lepszy prawy populista, który choć w połowie dotrzyma słowa, niż lewacki demagog, którego słowo jest mniej warte, niż papier toaletowy.
PS. orzekanie z góry, że ktoś jest niegodny rządzenia, jest takie jakby nazistowskie?",negative
Ty głąbie nie pamiętasz co próbowaliście zrobić w Polsce?,negative
Popierdoliło Ci się w tym łysy Łebie o czym ty prawisz a z resztą przecież nawet nie jesteś tym co koń pod brzuchem nosi Zero,negative
"O kurczę, nie sądziłem, że identyfikuje się Pan jako ""prawy"" populista. Odważny coming out, szanuję!",negative
"Tyranozaurrrrr ?
...
Widać parametrami próbujesz dorównać, temu ulicznemu monstrum Lempart'owej..
oraz plugawym słownictwem...!, 
rodem z tego twojego lewackiego chlewu...!
Uporządkowanie tej ""Stajni Augiasza"",
 wymaga wielkiego wysiłku prawicy...",negative
Ależ wy lubicie samozaoranie. Głąb przy głąbie w tej oPOzycji.,negative
Wy to najlepiej wiecie.PUCZ JUZ MACIE ZA SOBA W ROLI GLOWNEJ MUCHA.,negative
"Dzięki nim,Unia rozleci się jak ZSRR.",neutral
Taaak...nieuznawanie demokratycznych rozstrzygnięć ....,negative
Cos jak ciamajdan? Boryslawie iliczu?,negative
Borys znowu się pchasz do koryta!,negative
"P Budka co Pan wygaduje .Tam Brazylia jak można przyrównywać do prawicy  w Polsce.I gadać bzdury że prawica nie może rządzić .To odwrotnie lewaki nie mogą rządzić szanowny Panie,tak zdecydowali wyborcy.A Brazylia niech sama rozwiązuje swoje problemy .",negative
Ty gnojku. A kto nawołuje do eyjscia na ulicę? PJK czy szczur Tusk. Muarkuj słowa bo mogą one idbic ci się czkawką.,negative
No i ponad tysiąc negatywnych komentarzy w godzinkę ? Brawo Borysław!,negative
Ruski szablon,positive
Boris... zes teraz odjebal 😁🤡,negative
Słuszna uwaga.,positive
"Pucz,nareszcie był pucz,tfu.",negative
O popuczu się zapomniało a kogoś chcesz oceniać ćwoku,negative
"Masz rację
Budka jest jednym z najbardziej obrzydliwie bezczelnych 🤮",negative
Gomułce się już wszystko w tym ptasim móżdżku popier...o.,negative
👏👍🎩,positive
"Komuniści boją się prawych.Nareszcie,brawo.",negative
"Tzw Ciamajdan ? no toż to był skandal, dobrze, że nikt nie użył broni ani nawet pałek , choć sie należały.",negative
Kasa z Kremla i Watykanu.,positive
Ale żeś dojeboł teraz! Ty się zdecyduj bo raz tak mówisz raz inaczej.,negative
"Klapa od sracza, znowu kłapnęła ozorem - zapewne coś ciebie osrało!?",negative
"Budka, to krytyka Tuska? Uważaj bo wyśle po ciebie paru silnych ludzi ...",negative
Buraku zaPOmniałeś knucie POsrany o Polsce KOD ciamajdan i innych Obywatelach CHUJ !!!!pasożycie POd kiecami teściowej tfuSSka🤮💩🤮💩🤮💩🤮💩🤮💩🤮💩,negative
I dlatego nie uznajesz żadnej instytucji? To ty z prawicy jesteś?🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,negative
"Ty nie patrz tyle w lustro, za dużo ćpasz!",negative
A kto zdeptal TK i demokrację w Polsce w 2016r odpadzie metaboliczny?,negative
Pamiętasz pasztetowy ciamajdan?,negative
"Blokowanie mównicy sejmowej i obrad na sali plenarnej, nieuznawanie sędziów mianowanych przez inną opcję, donoszenie na własny kraj, kalanie gniazda....
Macie swój udział w burzeniu demokracji.",negative
Dureń👆,negative
"A zammieszki we Francji,Belgii, Holandi jakoś pan skometuje? Czy jest zakaz z Brukseli aby o tym mówić?",negative
"Bardzo mi to przypomina wściekłą prostacką dzicz z KOD, Iustitii i innych animowanych przez POKO band frustratów, również nie potrafią zaakceptować wyników wyborów.",negative
🐑🤣🤣🐑🐑,negative
"Budka byłeś pieniaczem, teraz idziesz na lidera debili w opozycji.",negative
"Brak szacunku dla instytucji publicznych, nieuznawanie demokratycznych rozstrzygnięć - czyli cała opozycja. Protesty przed sejmem, próba puczu, kodziarstwo to są ci ""prawi"" populiści ? Zastanów się człowieku jak coś piszesz. Pana własne słowa pana pogrążają.",negative
I Pan uważasz się za godniejszego sprawowania władzy od kogoś innego tak? Hipokryzja na całego i tyle.,negative
Ty łysy baranie czerwony przecież wy to cały czas robicie.,negative
"Ty leniwy lewaku , całkiem schamiałeś.",negative
"Panie Budka, a jaki szacunek do demokratycznych rozstrzygnięć okazał Pan i pańscy koledzy partyjni kiedy to blokowaliście sejm i nawoływaliscie do puczu",negative
Gonić lewactwo z POwierzchni Ziemi!!!,negative
Jak musi im walić z gara.,positive
"Budka zasługuje  żeby rządzić krajem, zostawili nam kupe  kamieni I ch,......Sienkiewicza  3tys.żebrzacych Polaków na dworcach w Belgi,na zeszyt na wsiach ludzie brali żywność",negative
Żeby było ślicznie i demokratycznie. Grzebania w cudzej własności nie było końca.,neutral
